Mapping parameters for Gadus morhua (Atlantic cod)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. "

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  18 |  21 |  27 |  31 |  41 ,
Bounding Box (NSWE): ,83,35,-76,86

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,65,200,600
Temperature (°C),1,-0.9,2.54,12.29,16.08
Salinity (psu),1,6.2,29.5,34.8,39.3
Primary Production,1,328,546,1800,2935
Sea Ice Concentration,1,-0.9512169377449899,0,0.17,0.74
Distance to Land (km),0,0,8,263,967
 

Map data (HSPEC) for predicted occurrences (n = 4587): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Gadus,morhua,57.25,20.25,1502:370:1,0.01,1,1,0.011158798283262,1,1,1
Gadus,morhua,57.25,20.75,1502:370:2,0.01,1,1,0.011158798283262,1,1,1
Gadus,morhua,57.75,20.25,1502:370:3,0.01,1,1,0.011158798283262,1,1,1
Gadus,morhua,57.75,20.75,1502:370:4,0.01,1,1,0.011158798283262,1,1,1
Gadus,morhua,57.25,21.25,1502:371:1,0.01,1,1,0.011158798283262,0.99559471365639,1,1
Gadus,morhua,57.25,21.75,1502:371:2,0.01,0.29230769230769,1,0.029184549356223,0.80528634361233,1,1
Gadus,morhua,57.75,21.25,1502:371:3,0.03,1,1,0.029184549356223,1,1,1
Gadus,morhua,57.75,21.75,1502:371:4,0.03,1,1,0.029184549356223,0.90132158590308,1,1
Gadus,morhua,57.75,22.25,1502:372:3,0.01,0.64615384615385,1,0.029184549356223,0.53215859030837,1,1
Gadus,morhua,58.25,20.25,1502:380:1,0.02,1,1,0.016738197424893,1,1,1
Gadus,morhua,58.25,20.75,1502:380:2,0.02,1,1,0.016738197424893,1,1,1
Gadus,morhua,58.75,20.25,1502:380:3,0.02,1,1,0.016738197424893,1,1,1
Gadus,morhua,58.75,20.75,1502:380:4,0.02,1,1,0.016738197424893,1,1,1
Gadus,morhua,58.25,21.25,1502:381:1,0.03,1,1,0.029184549356223,1,1,1
Gadus,morhua,58.25,21.75,1502:381:2,0.03,1,1,0.029184549356223,1,1,1
Gadus,morhua,58.75,21.25,1502:381:3,0.03,1,1,0.029184549356223,1,1,1
Gadus,morhua,58.75,21.75,1502:381:4,0.03,1,1,0.029184549356223,1,1,1
Gadus,morhua,58.25,22.25,1502:382:1,0.01,0.41538461538462,1,0.029184549356223,0.90044052863436,1,1
Gadus,morhua,59.25,20.25,1502:390:1,0.01,1,1,0.0068669527896996,1,1,1
Gadus,morhua,59.25,20.75,1502:390:2,0.01,1,1,0.0068669527896996,1,1,1
Gadus,morhua,59.75,20.25,1502:390:3,0.01,1,1,0.0068669527896996,0.94008810572687,1,1
Gadus,morhua,59.25,21.25,1502:391:1,0.01,1,1,0.0068669527896996,1,1,1
Gadus,morhua,59.25,21.75,1502:391:2,0.01,1,1,0.0068669527896996,1,1,1
Gadus,morhua,59.75,21.25,1502:391:3,0.01,1,1,0.0068669527896996,0.98854625550661,1,1
Gadus,morhua,59.75,21.75,1502:391:4,0.01,1,1,0.0068669527896996,0.8625550660793,1,1
Gadus,morhua,62.75,1.75,1600:121:4,0.17,0.185,1,0.99111111111111,0.94036697247706,1,1
Gadus,morhua,60.75,5.75,1600:205:4,0.02,0.015384615384615,1,1,1,1,1
Gadus,morhua,60.75,6.75,1600:206:4,0.02,0.015384615384615,1,1,1,1,1
Gadus,morhua,60.75,7.25,1600:207:3,0.02,0.015384615384615,1,1,1,1,1
Gadus,morhua,61.75,5.75,1600:215:4,0.05,0.046153846153846,1,1,1,1,1
Gadus,morhua,61.75,6.75,1600:216:4,0.02,0.015384615384615,1,1,1,1,1
Gadus,morhua,61.25,7.75,1600:217:2,0.02,0.015384615384615,1,1,1,1,1
Gadus,morhua,62.75,8.75,1600:228:4,0.02,0.015384615384615,1,1,1,1,1
Gadus,morhua,66.25,5.75,1600:465:2,0.07,0.1125,1,0.95777777777778,0.6743119266055,1,1
Gadus,morhua,64.75,11.75,1601:141:4,0.15,0.15384615384615,1,1,1,1,1
Gadus,morhua,65.25,12.75,1601:352:2,0.02,0.015384615384615,1,1,1,1,1
Gadus,morhua,65.75,12.25,1601:352:3,0.18,0.18461538461538,1,1,1,1,1
Gadus,morhua,65.75,12.75,1601:352:4,0.18,0.18461538461538,1,1,1,1,1
Gadus,morhua,66.25,13.25,1601:363:1,0.15,0.15384615384615,1,1,0.98623853211009,1,1
Gadus,morhua,66.75,13.75,1601:363:4,0.11,0.12307692307692,1,1,0.93119266055046,1,1
Gadus,morhua,67.75,15.75,1601:475:4,0.12,0.12307692307692,1,1,1,1,1
Gadus,morhua,69.25,19.25,1601:499:1,0.15,0.16923076923077,1,1,0.90366972477064,1,1
Gadus,morhua,64.75,34.75,1603:144:4,0.11,0.18461538461538,0.79360465116279,0.88197424892704,1,0.82456140350877,1
Gadus,morhua,64.25,35.25,1603:245:1,0.07,0.13846153846154,0.77616279069767,0.88197424892704,1,0.78947368421053,1
Gadus,morhua,64.25,35.75,1603:245:2,0.08,0.16923076923077,0.77616279069767,0.88197424892704,1,0.71929824561404,1
Gadus,morhua,64.75,35.25,1603:245:3,0.10,0.18461538461538,0.77616279069767,0.88197424892704,1,0.80701754385965,1
Gadus,morhua,64.75,35.75,1603:245:4,0.14,0.24615384615385,0.77616279069767,0.88197424892704,1,0.80701754385965,1
Gadus,morhua,64.25,36.25,1603:246:1,0.16,0.46153846153846,0.8343023255814,0.87038626609442,1,0.47368421052632,1
Gadus,morhua,65.25,34.25,1603:354:1,0.06,0.10769230769231,0.74709302325581,0.88197424892704,1,0.80701754385965,1
Gadus,morhua,66.75,32.75,1603:362:4,0.12,0.78461538461538,1,0.88197424892704,1,0.17543859649123,1
Gadus,morhua,67.25,31.75,1603:371:2,0.02,0.030769230769231,1,1,1,0.73684210526316,1
Gadus,morhua,67.25,32.25,1603:372:1,0.10,0.18461538461538,1,1,1,0.54385964912281,1
Gadus,morhua,67.25,32.75,1603:372:2,0.11,0.29230769230769,1,0.88197424892704,1,0.42105263157895,1
Gadus,morhua,69.25,32.75,1603:392:2,0.08,0.076923076923077,1,1,1,1,1
Gadus,morhua,64.75,40.25,1604:140:3,0.17,0.35384615384615,0.90697674418605,0.85622317596567,1,0.63157894736842,1
Gadus,morhua,66.25,42.25,1604:362:1,0.12,0.16923076923077,0.84593023255814,1,1,0.82456140350877,1
Gadus,morhua,66.25,42.75,1604:362:2,0.14,0.2,0.84593023255814,1,1,0.80701754385965,1
Gadus,morhua,66.25,44.25,1604:364:1,0.14,0.26153846153846,0.74418604651163,1,1,0.73684210526316,1
Gadus,morhua,66.75,44.25,1604:364:3,0.18,0.35384615384615,0.74418604651163,1,1,0.70175438596491,1
Gadus,morhua,67.25,43.75,1604:373:2,0.19,0.30769230769231,0.82848837209302,1,1,0.75438596491228,1
Gadus,morhua,67.25,44.25,1604:374:1,0.12,0.21538461538462,0.75,1,1,0.75438596491228,1
Gadus,morhua,67.25,44.75,1604:374:2,0.02,0.046153846153846,0.75,1,1,0.71929824561404,1
Gadus,morhua,67.75,44.25,1604:374:3,0.10,0.18461538461538,0.75,1,1,0.75438596491228,1
Gadus,morhua,68.25,44.25,1604:384:1,0.12,0.16923076923077,0.79651162790698,1,1,0.85964912280702,1
Gadus,morhua,66.75,45.75,1604:465:4,0.08,0.15384615384615,0.74127906976744,1,1,0.70175438596491,1
Gadus,morhua,66.75,46.25,1604:466:3,0.10,0.18461538461538,0.71802325581395,1,1,0.71929824561404,1
Gadus,morhua,66.75,46.75,1604:466:4,0.09,0.16923076923077,0.71802325581395,1,1,0.71929824561404,1
Gadus,morhua,66.75,47.25,1604:467:3,0.07,0.13846153846154,0.69186046511628,1,1,0.71929824561404,1
Gadus,morhua,66.75,47.75,1604:467:4,0.05,0.10769230769231,0.69186046511628,1,1,0.70175438596491,1
Gadus,morhua,67.25,45.25,1604:475:1,0.08,0.18461538461538,0.70058139534884,1,1,0.63157894736842,1
Gadus,morhua,67.25,45.75,1604:475:2,0.11,0.23076923076923,0.70058139534884,1,1,0.70175438596491,1
Gadus,morhua,67.75,45.25,1604:475:3,0.09,0.16923076923077,0.70058139534884,1,1,0.7719298245614,1
Gadus,morhua,67.75,45.75,1604:475:4,0.12,0.23076923076923,0.70058139534884,1,1,0.7719298245614,1
Gadus,morhua,67.25,46.25,1604:476:1,0.14,0.30769230769231,0.66279069767442,1,1,0.70175438596491,1
Gadus,morhua,67.25,46.75,1604:476:2,0.18,0.38461538461538,0.66279069767442,1,1,0.70175438596491,1
Gadus,morhua,67.75,46.25,1604:476:3,0.16,0.32307692307692,0.66279069767442,1,1,0.75438596491228,1
Gadus,morhua,67.25,47.25,1604:477:1,0.16,0.36923076923077,0.63081395348837,1,1,0.70175438596491,1
Gadus,morhua,67.25,47.75,1604:477:2,0.09,0.21538461538462,0.63081395348837,1,1,0.63157894736842,1
