"sovereign_iso3","sovereign","rcp","scenario","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff"
"GAB","Gabon","RCP45","Productivity Only",171579.153169985,24981.7281051905,3583710.26820832,1702898891.38428,0.935188102010324,0.60485171653336,14.0823864194831,44.3982988846947,0.264342845857608
"GAB","Gabon","RCP45","Range Shift Only",171579.153169985,24981.7281051905,2841154.9432336,1057526971.74408,0.952377399874711,0.452453836279254,-9.55582012670716,-10.3263872464002,0.111944965603502
"GAB","Gabon","RCP60","Full Adaptation",171579.153169985,33976.4568892921,3798134.82028875,2063115555.47395,1.24896881553093,0.847437543201343,-8.06623348408133,50.716727509064,0.511207662683914
"GAB","Gabon","RCP60","Imperfect Full Adaptation",171579.153169985,33976.4568892921,3198196.40013455,1414029871.25858,1.15916101435479,0.63513380073072,-22.5877292318791,3.29908774654051,0.298903920213291
"GAB","Gabon","RCP60","Imperfect Productivity Only",171579.153169985,33976.4568892921,4439247.48769753,1658056960.72067,0.888923283575606,0.478555676245022,7.45188397744561,21.1259924246153,0.142325795727593
"GAB","Gabon","RCP60","No Adaptation",171579.153169985,33976.4568892921,4131381.71558661,1368869660.03815,0.735541494969728,0.336229880517429,0,0,0
"GAB","Gabon","RCP60","Productivity Only",171579.153169985,33976.4568892921,4693545.44680513,2033435903.67671,0.924212463355189,0.594088410519733,13.6071602654779,48.5485406711431,0.257858530002304
"GAB","Gabon","RCP60","Range Shift Only",171579.153169985,33976.4568892921,3786553.96533853,1235513922.69143,0.955029807043631,0.453046311839637,-8.34654781346246,-9.74203324391054,0.116816431322208
"GAB","Gabon","RCP85","Full Adaptation",171579.153169985,14333.4551496043,2675621.37957818,1625267906.33729,1.32135859032464,0.841776110068793,-19.4063918178001,21.9545285518037,0.545209176788124
"GAB","Gabon","RCP85","Imperfect Full Adaptation",171579.153169985,14333.4551496043,1834784.67355912,976447054.703967,1.21023743911138,0.630756064645667,-44.733616569157,-26.7307625112811,0.334189131364998
