"SciName","CommName","SpeciesID"
"Pennahia anea","Donkey croaker","12493"
"Pennahia argentata","Silver croaker","12494"
"Pentanemus quinquarius","Royal threadfin","12510"
"Peprilus paru","American harvestfish","12530"
"Percophis brasiliensis","Brazilian flathead","12535"
"Perna perna","South American rock mussel","12588"
"Perna viridis","Green mussel","12589"
"Petromyzon marinus","Sea lamprey","12626"
"Petrus rupestris","Red steenbras","12637"
"Pharus legumen","Bean solen","12679"
"Phycis blennoides","Greater forkbeard","12783"
"Phycis phycis","Forkbeard","12785"
"Plagiogeneion rubiginosum","Rubyfish","12897"
"Platichthys flesus","European flounder","12923"
"Platichthys stellatus","Starry flounder","12924"
"Platycephalus conatus","Deep-water flathead","12932"
"Platycephalus indicus","Bartail flathead","12935"
"Platycephalus richardsoni","Tiger flathead","12939"
"Plectorhinchus gaterinus","Blackspotted rubberlip","12969"
"Plectorhinchus mediterraneus","Rubberlip grunt","12974"
"Plectorhinchus pictus","Trout sweetlips","12977"
"Plectorhinchus schotaf","Minstrel sweetlips","12980"
"Plectorhinchus sordidus","Sordid rubberlip","12981"
"Plectropomus areolatus","Squaretail coralgrouper","13011"
"Plectropomus leopardus","Leopard coralgrouper","13013"
"Plectropomus pessuliferus","Roving coralgrouper","13016"
"Pleoticus muelleri","Argentine red shrimp","13020"
"Pleoticus robustus","Royal red shrimp","13021"
"Plesiopenaeus edwardsianus","Scarlet shrimp","13040"
"Pleurogrammus azonus","Okhotsk atka mackerel","13062"
"Pleurogrammus monopterygius","Atka mackerel","13063"
"Pleuronectes platessa","European plaice","13068"
"Pleuronectes quadrituberculatus","Alaska plaice ","13070"
"Pogonias cromis","Black drum","13159"
"Pollachius pollachius","Pollack","13186"
"Pollachius virens","Saithe(=Pollock)","13187"
"Pollicipes pollicipes","Barnacle","13189"
"Polydactylus quadrifilis","Giant African threadfin","13239"
"Polyprion americanus","Wreckfish","13290"
"Pomacanthus maculosus","Yellowbar angelfish","13312"
"Pomadasys argenteus","Silver grunt","13376"
"Pomadasys jubelini","Sompat grunt","13385"
"Pomadasys kaakan","Javelin grunter","13386"
"Pomadasys stridens","Striped piggy","13395"
"Pomatomus saltatrix","Bluefish","13399"
"Pontinus kuhlii","Offshore rockfish","13411"
"Portunus pelagicus","Blue swimming crab","13476"
"Portunus trituberculatus","Gazami crab","13477"
"Priacanthus macracanthus","Red bigeye","13490"
"Prionace glauca","Blue shark","13518"
"Prolatilus jugularis","Pacific sandperch","13605"
"Promethichthys prometheus","Roudi escolar","13606"
"Psenopsis anomala","Pacific rudderfish","13707"
"Psettichthys melanostictus","Pacific sand sole","13712"
"Psettodes erumei","Indian halibut","13720"
"Pseudocaranx dentex","White trevally","13772"
"Pseudocyttus maculatus","Smooth oreo dory","13823"
"Pseudopercis semifasciata","Argentinian sandperch","13856"
"Pseudophycis bachus","Red codling","13858"
"Pseudopleuronectes americanus","Winter flounder","13867"
"Pseudopleuronectes herzensteini","Yellow striped flounder","13868"
"Pseudotolithus elongatus","Bobo croaker","13916"
"Pseudotolithus senegalensis","Cassava croaker","13919"
"Pseudotolithus senegallus","Law croaker","13920"
"Pseudupeneus prayensis","West African goatfish","13927"
