"rcp","scenario","scenario_short","sovereign_iso3","sovereign","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff"
"RCP 2.6","Full Adaptation","Full","SAU","Saudi Arabia",55557.7266775465,64004.9070053554,5377946.66080264,5542707820.82861,1.20548270997508,0.933477946493131,53.1338774272323,137.006396487931,0.627231770398799
"RCP 2.6","No Adaptation","BAU","SAU","Saudi Arabia",55557.7266775465,64004.9070053554,3511924.82757983,2338632164.76981,0.680935608165424,0.306246176094332,0,0,0
"RCP 2.6","Productivity Only","Productivity","SAU","Saudi Arabia",55557.7266775465,64004.9070053554,5277150.86158958,4991110544.8506,1.05787270954449,0.786862450636854,50.2637761533814,113.420076061507,0.480616274542522
"RCP 2.6","Range Shift Only","Range","SAU","Saudi Arabia",55557.7266775465,64004.9070053554,3382464.13764162,2623327288.12518,0.747136890649031,0.351799321430558,-3.68631722756525,12.1735742646557,0.0455531453362256
"RCP 4.5","Full Adaptation","Full","SAU","Saudi Arabia",55557.7266775465,65556.2081181991,5525622.11404154,5636578145.15655,1.21870088862983,0.932053827487315,49.1172532405546,155.128308632038,0.636278402823737
"RCP 4.5","No Adaptation","BAU","SAU","Saudi Arabia",55557.7266775465,65556.2081181991,3705555.18825689,2209311140.49205,0.66917686182205,0.295775424663578,0,0,0
"RCP 4.5","Productivity Only","Productivity","SAU","Saudi Arabia",55557.7266775465,65556.2081181991,5320289.74249995,4836148169.86375,1.05121428122532,0.782980366203397,43.5760492613966,118.898464830384,0.487204941539819
"RCP 4.5","Range Shift Only","Range","SAU","Saudi Arabia",55557.7266775465,65556.2081181991,3473071.32674828,2619348282.0678,0.750924594449761,0.350099272005295,-6.27392791896237,18.5595018311653,0.0543238473417163
"RCP 6.0","Full Adaptation","Full","SAU","Saudi Arabia",55557.7266775465,29458.1961538412,4783845.81177451,4983449242.12455,1.24171618686327,0.932438606510565,43.4027992980366,135.975253323103,0.66070816676185
"RCP 6.0","No Adaptation","BAU","SAU","Saudi Arabia",55557.7266775465,29458.1961538412,3335950.08967165,2111852481.11636,0.629759422859777,0.271730439748715,0,0,0
"RCP 6.0","Productivity Only","Productivity","SAU","Saudi Arabia",55557.7266775465,29458.1961538412,4576455.93660835,4048916613.44451,1.01878227985857,0.739691604797259,37.1859834107649,91.7234584161955,0.467961165048544
"RCP 6.0","Range Shift Only","Range","SAU","Saudi Arabia",55557.7266775465,29458.1961538412,3086696.63719228,2549727916.51851,0.747317439734888,0.348886350656768,-7.47173805900396,20.7341866592255,0.0771559109080525
"RCP 8.5","Full Adaptation","Full","SAU","Saudi Arabia",55557.7266775465,7208.47509145335,3396985.33821517,3491766447.33024,1.85062841678692,0.93173733837728,4.38864072356393,46.7601443327526,0.784145446332787
"RCP 8.5","No Adaptation","BAU","SAU","Saudi Arabia",55557.7266775465,7208.47509145335,3254171.44496677,2379233451.42894,0.500509483412085,0.147591892044492,0,0,0
"RCP 8.5","Productivity Only","Productivity","SAU","Saudi Arabia",55557.7266775465,7208.47509145335,2843299.33341474,1433459510.99538,0.690685412803626,0.348427530912992,-12.6260130574103,-39.7512038957564,0.2008356388685
"RCP 8.5","Range Shift Only","Range","SAU","Saudi Arabia",55557.7266775465,7208.47509145335,2185302.80451079,1778683531.82728,0.964101549876831,0.357348540455084,-32.8461071745066,-25.2413196040504,0.209756648410592
"RCP 2.6","Full Adaptation","Full","SDN","Sudan",19286.5096511658,19879.6791141236,1770966.67796496,1833316222.74639,1.20836957527087,0.936586673816866,60.2528419302348,189.396751806268,0.638088215578496
"RCP 2.6","No Adaptation","BAU","SDN","Sudan",19286.5096511658,19879.6791141236,1105107.8137734,633495784.352711,0.658013386209891,0.29849845823837,0,0,0
"RCP 2.6","Productivity Only","Productivity","SDN","Sudan",19286.5096511658,19879.6791141236,1733553.23364876,1634933705.97019,1.07153525236439,0.792800643517898,56.8673401855275,158.081229007817,0.494302185279528
"RCP 2.6","Range Shift Only","Range","SDN","Sudan",19286.5096511658,19879.6791141236,1044910.85792621,727332984.583555,0.708232268762922,0.337310631451937,-5.44715683817694,14.8126005805586,0.0388121732135675
"RCP 4.5","Full Adaptation","Full","SDN","Sudan",19286.5096511658,16070.3945252686,1656684.28101494,1747487417.81838,1.21423182695443,0.931314720146808,59.047378913493,208.82995391463,0.644448813737056
"RCP 4.5","No Adaptation","BAU","SDN","Sudan",19286.5096511658,16070.3945252686,1041629.41403518,565841297.344313,0.649778691222668,0.286865906409752,0,0,0
"RCP 4.5","Productivity Only","Productivity","SDN","Sudan",19286.5096511658,16070.3945252686,1627596.72437611,1551685699.91987,1.07818448129903,0.802136584087036,56.2548736091218,174.226308189674,0.515270677677284
"RCP 4.5","Range Shift Only","Range","SDN","Sudan",19286.5096511658,16070.3945252686,980278.304940032,661322380.900743,0.702258215199721,0.327959103421156,-5.88991711144979,16.8741808002625,0.0410931970114039
"RCP 6.0","Full Adaptation","Full","SDN","Sudan",19286.5096511658,6361.29671060833,1457361.92042136,1521198258.22574,1.22647376057289,0.933656745771601,50.8881110173278,169.168406467001,0.660679166120362
"RCP 6.0","No Adaptation","BAU","SDN","Sudan",19286.5096511658,6361.29671060833,965856.031065294,565147402.770032,0.622166444545783,0.272977579651239,0,0,0
"RCP 6.0","Productivity Only","Productivity","SDN","Sudan",19286.5096511658,6361.29671060833,1430826.02280653,1289628417.58764,1.04629761276543,0.764192998557755,48.1407142251204,128.193283958594,0.491215418906516
"RCP 6.0","Range Shift Only","Range","SDN","Sudan",19286.5096511658,6361.29671060833,891728.170499422,667447711.389153,0.703666466174045,0.332044054018618,-7.67483539799535,18.1015268083517,0.0590664743673791
"RCP 8.5","Full Adaptation","Full","SDN","Sudan",19286.5096511658,0,936267.841594918,980051164.357342,NA,0.91695163654128,7.82458079314053,46.8745457467866,0.750610649731314
"RCP 8.5","No Adaptation","BAU","SDN","Sudan",19286.5096511658,0,868325.046763808,667270941.58777,NA,0.166340986809966,0,0,0
"RCP 8.5","Productivity Only","Productivity","SDN","Sudan",19286.5096511658,0,792989.273421968,432555459.957282,NA,0.408402540302882,-8.67598759503846,-35.1754387913225,0.242061553492916
"RCP 8.5","Range Shift Only","Range","SDN","Sudan",19286.5096511658,0,571234.822015407,412582880.669705,NA,0.337485751506269,-34.214171968854,-38.168612634627,0.171144764696304
"RCP 2.6","Full Adaptation","Full","SEN","Senegal",99389.9891495412,88008.7496934534,6911863.80279162,3612854077.09797,1.30406840640697,0.930016694490818,23.9377574939169,216.764430799532,0.635659432387312
"RCP 2.6","No Adaptation","BAU","SEN","Senegal",99389.9891495412,88008.7496934534,5576883.06013675,1140549167.08259,0.655583425155922,0.294357262103506,0,0,0
"RCP 2.6","Productivity Only","Productivity","SEN","Senegal",99389.9891495412,88008.7496934534,6148218.35726547,1602970621.1192,0.812987711812644,0.54457429048414,10.244706424142,40.5437544809603,0.250217028380634
"RCP 2.6","Range Shift Only","Range","SEN","Senegal",99389.9891495412,88008.7496934534,5907427.41554522,1859011610.9822,0.868414332803473,0.458497495826377,5.92704476396819,62.9926762155604,0.164140233722871
"RCP 4.5","Full Adaptation","Full","SEN","Senegal",99389.9891495412,56070.1913068379,5760473.13488415,3072404584.30454,1.42855205589268,0.925873655913979,7.44245940949938,449.362888617605,0.639717741935484
"RCP 4.5","No Adaptation","BAU","SEN","Senegal",99389.9891495412,56070.1913068379,5361449.43679021,559266861.297424,0.651545667126463,0.286155913978495,0,0,0
"RCP 4.5","Productivity Only","Productivity","SEN","Senegal",99389.9891495412,56070.1913068379,6025352.97933013,1086647344.14368,0.815241172351015,0.53508064516129,12.3829115683574,94.2985396314738,0.248924731182796
"RCP 4.5","Range Shift Only","Range","SEN","Senegal",99389.9891495412,56070.1913068379,5532526.01656732,1534840609.00337,0.878729475327527,0.476478494623656,3.19086436968301,174.437967850043,0.190322580645161
"RCP 6.0","Full Adaptation","Full","SEN","Senegal",99389.9891495412,10061.7475760916,4865864.70776489,2644231238.53418,1.28240953932082,0.923420281768726,10.4096558628456,257.903141755628,0.645487515692565
"RCP 6.0","No Adaptation","BAU","SEN","Senegal",99389.9891495412,10061.7475760916,4407100.69217988,738811966.154695,0.727948652812436,0.277932766076161,0,0,0
"RCP 6.0","Productivity Only","Productivity","SEN","Senegal",99389.9891495412,10061.7475760916,5189503.11244091,1330496073.96889,0.933956742040099,0.506137536615985,17.7532231484828,80.0858858436937,0.228204770539824
"RCP 6.0","Range Shift Only","Range","SEN","Senegal",99389.9891495412,10061.7475760916,4440551.96085921,1315940193.04805,0.894423565257604,0.475380108801785,0.759031186618678,78.1157118904205,0.197447342725624
"RCP 8.5","Full Adaptation","Full","SEN","Senegal",99389.9891495412,8840.47578572749,3789502.55618518,2199967427.62619,1.46943465009562,0.917168674698795,-4.34146125731227,108.186153536133,0.699397590361446
"RCP 8.5","No Adaptation","BAU","SEN","Senegal",99389.9891495412,8840.47578572749,3961489.06934338,1056730906.57509,0.584005711475976,0.217771084337349,0,0,0
"RCP 8.5","Productivity Only","Productivity","SEN","Senegal",99389.9891495412,8840.47578572749,4036611.82659753,864510385.899621,0.750077342733464,0.352484939759036,1.89632625356722,-18.1901106023731,0.134713855421687
"RCP 8.5","Range Shift Only","Range","SEN","Senegal",99389.9891495412,8840.47578572749,3565128.93113373,1276526608.99812,1.11008257813863,0.483960843373494,-10.0053321180902,20.7995906105746,0.266189759036145
"RCP 2.6","Full Adaptation","Full","SGP","Singapore",504.299383908388,475.663677540222,41305.5449839205,45384070.80919,1.20088513042053,0.929137190882157,36.2150089434694,138.883404955579,0.590906342584195
"RCP 2.6","No Adaptation","BAU","SGP","Singapore",504.299383908388,475.663677540222,30323.7839238866,18998419.257139,0.734518900092941,0.338230848297962,0,0,0
"RCP 2.6","Productivity Only","Productivity","SGP","Singapore",504.299383908388,475.663677540222,40498.8210586924,37260576.8449376,1.09326211301975,0.818005925388476,33.5546419943677,96.1246161621388,0.479775077090513
"RCP 2.6","Range Shift Only","Range","SGP","Singapore",504.299383908388,475.663677540222,28859.6281047875,22536825.4783112,0.794181790246216,0.3800713465143,-4.82840737413958,18.6247401601193,0.0418404982163371
"RCP 4.5","Full Adaptation","Full","SGP","Singapore",504.299383908388,102.56615533245,23903.9762596612,26114740.0440022,1.20383278228905,0.926957467375544,28.8605195911562,78.2142527219294,0.587602706621556
"RCP 4.5","No Adaptation","BAU","SGP","Singapore",504.299383908388,102.56615533245,18550.2715148928,14653564.2605137,0.743690564519211,0.339354760753987,0,0,0
"RCP 4.5","Productivity Only","Productivity","SGP","Singapore",504.299383908388,102.56615533245,23832.0522608929,21433423.1232237,1.11895513743086,0.832286128564524,28.4727948146721,46.2676434359339,0.492931367810536
"RCP 4.5","Range Shift Only","Range","SGP","Singapore",504.299383908388,102.56615533245,17027.8682149142,13937271.7613199,0.786866882564398,0.37983325277912,-8.20690575206101,-4.8881793293392,0.0404784920251329
"RCP 6.0","Full Adaptation","Full","SGP","Singapore",504.299383908388,178.991483049769,36353.12259475,39079147.0803219,1.21908417755995,0.928256003871514,31.462649307199,121.941279475657,0.613272034359688
"RCP 6.0","No Adaptation","BAU","SGP","Singapore",504.299383908388,178.991483049769,27652.8145342642,17607876.8098695,0.692972013845808,0.314983969511826,0,0,0
"RCP 6.0","Productivity Only","Productivity","SGP","Singapore",504.299383908388,178.991483049769,35734.6004590484,32844210.8727319,1.09704142353467,0.811384671223761,29.2259072390991,86.5313531403293,0.496400701711935
"RCP 6.0","Range Shift Only","Range","SGP","Singapore",504.299383908388,178.991483049769,25744.1764846487,19897292.1647681,0.817578136282976,0.381586110943077,-6.9021475092548,13.0022226962385,0.0666021414312504
"RCP 8.5","Full Adaptation","Full","SGP","Singapore",504.299383908388,1.55363799179096e-16,15974.6631625209,17763904.8988211,1.89890377598898,0.916590024761231,-1.12479432060556,26.8209037458965,0.732932437212593
"RCP 8.5","No Adaptation","BAU","SGP","Singapore",504.299383908388,1.55363799179096e-16,16156.3893119163,14007079.5697952,0.523729507333018,0.183657587548638,0,0,0
"RCP 8.5","Productivity Only","Productivity","SGP","Singapore",504.299383908388,1.55363799179096e-16,15390.3974823833,10094173.2497228,0.72232109817753,0.381747435443934,-4.74110777318321,-27.9352044840968,0.198089847895295
"RCP 8.5","Range Shift Only","Range","SGP","Singapore",504.299383908388,1.55363799179096e-16,11646.9940775955,10050706.355288,1.09580880435077,0.38903431199151,-27.9109097166581,-28.2455253773148,0.205376724442872
"RCP 2.6","Full Adaptation","Full","SLB","Solomon Islands",188828.241796977,199678.483378347,16972742.7916394,17422208945.6441,1.20366405010486,0.928510414613312,44.7850632804465,150.923912459078,0.600105131743216
"RCP 2.6","No Adaptation","BAU","SLB","Solomon Islands",188828.241796977,199678.483378347,11722716.6995559,6943223854.15755,0.722437503943784,0.328405282870097,0,0,0
"RCP 2.6","Productivity Only","Productivity","SLB","Solomon Islands",188828.241796977,199678.483378347,16782955.686246,14827964785.0121,1.10845101928463,0.832380576910441,43.1660946551903,113.56022931816,0.503975294040344
"RCP 2.6","Range Shift Only","Range","SLB","Solomon Islands",188828.241796977,199678.483378347,11377596.6319674,7904285463.71313,0.768591789794654,0.358959195742164,-2.9440280477095,13.8417200675462,0.0305539128720678
