"rcp","scenario","scenario_short","sovereign_iso3","sovereign","b1","b2","c1","c2","p1","p2","msy_tot1","msy_tot2","bbmsy_avg1","bbmsy_avg2","bbmsy_prop1","bbmsy_prop2","b_pdiff","c_pdiff","p_pdiff","bbmsy_prop_diff"
"RCP 4.5","Range Shift Only","Range","HTI","Haiti",275968.029742127,270411.807183324,12180.4823038386,9970.44490187977,16304794.2556281,11560630.7119615,17001.0003719397,16316.0728841865,0.938417717458465,0.886204079624247,0.420408163265306,0.432258972554539,-1.29711925126491,-22.1985781861794,-32.7035634278434,0.0329392446633826
"RCP 6.0","Full Adaptation","Full","HTI","Haiti",250689.973870342,164150.368888408,17719.0235233635,11922.5863318759,18701480.1158906,14271252.7026739,17001.412772568,12323.8564493258,1.02359514265227,1.42728370978892,0.625850340136054,0.99312432702308,-39.6786427894138,-13.1111320553223,-20.2986757069962,0.589042694370019
"RCP 6.0","No Adaptation","BAU","HTI","Haiti",272126.451524205,154859.228522758,13721.649981062,7284.81526081618,17905916.6573053,4909322.70439856,17001.412772568,12323.8564493258,0.924020119333804,0.611260628375052,0.404081632653061,0.187058028890988,-43.092915938389,-46.9100635064272,-72.5826786846143,-0.217023603762073
"RCP 6.0","Productivity Only","Productivity","HTI","Haiti",237033.694291963,120640.182984894,20490.8236171685,11569.0410835919,20416044.4015206,8954603.58408825,17001.412772568,12323.8564493258,0.98098533510637,0.795917981937924,0.556462585034014,0.428346519089588,-55.6676014738083,-15.687682606983,-49.9908116659589,0.0242648864365264
"RCP 6.0","Range Shift Only","Range","HTI","Haiti",277097.831548709,190013.80103572,12248.1782897752,7161.45923041797,16403316.1257122,7553167.79377725,17001.412772568,12323.8564493258,0.941535967390889,0.951821928519309,0.421768707482993,0.457705385923993,-30.1744464856557,-47.8090518246576,-57.8174748697063,0.0536237532709314
"RCP 8.5","Full Adaptation","Full","HTI","Haiti",249054.381135642,93005.138347294,17718.2258788413,8731.15663306409,18698886.8975141,7240098.38902986,17015.9597731329,9087.24479264419,1.01767493030561,2.46604141014119,0.620408163265306,0.996462771237523,-65.5284950144539,-40.4872180058191,-62.170314153493,0.602585220217115
"RCP 8.5","No Adaptation","BAU","HTI","Haiti",269802.952862926,38767.7257101318,14671.0611409795,7860.99178806796,19138669.082282,2813684.56896219,17015.9597731329,9087.24479264419,0.913272416237674,0.672096931705408,0.393877551020408,0.141102378663904,-85.6310965840956,-46.4183830158645,-85.298431375424,-0.252775172356504
"RCP 8.5","Productivity Only","Productivity","HTI","Haiti",207535.285552625,31862.9656687094,22416.7387015278,6248.07376101216,17574475.1055639,1319739.25351405,17015.9597731329,9087.24479264419,0.960641783433142,0.789325184655054,0.531972789115646,0.237225349387904,-88.1902828228506,-57.4122573618078,-93.1043310909439,-0.156652201632504
"RCP 8.5","Range Shift Only","Range","HTI","Haiti",275755.668231091,134004.103331798,12182.9809130791,5011.03721394811,16328298.8793572,4595706.5801223,17015.9597731329,9087.24479264419,0.936603157614673,1.32431139600965,0.418367346938776,0.537582160504542,-50.3326031424575,-65.8440710880061,-75.9873240904883,0.143704609484134
"RCP 2.6","Full Adaptation","Full","IDN","Indonesia",35709139.3769589,42524945.0993038,2454903.40242825,2500255.52059113,2855711335.87267,2611299320.98415,2492934.27605017,2555771.50918674,1.05465872787882,1.19977092983277,0.647577092511013,0.991189427312775,10.7938558721594,17.125154951885,15.1398354080032,0.544493392070485
